store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_001,TXN_001,2026-03-03T10:15:00Z,1250.00
STORE_BLR_001,TXN_002,2026-03-03T10:42:00Z,3800.50
STORE_BLR_001,TXN_003,2026-03-03T11:05:00Z,750.00
STORE_BLR_001,TXN_004,2026-03-03T11:30:00Z,2100.00
STORE_BLR_001,TXN_005,2026-03-03T12:00:00Z,4500.00
STORE_BLR_002,TXN_006,2026-03-03T10:20:00Z,990.00
STORE_BLR_002,TXN_007,2026-03-03T10:55:00Z,2250.00
STORE_BLR_002,TXN_008,2026-03-03T11:15:00Z,1800.00
STORE_BLR_002,TXN_009,2026-03-03T12:10:00Z,3100.00
STORE_MUM_001,TXN_010,2026-03-03T10:00:00Z,5000.00
STORE_MUM_001,TXN_011,2026-03-03T10:45:00Z,1500.00
STORE_MUM_001,TXN_012,2026-03-03T11:20:00Z,2800.00
STORE_DEL_001,TXN_013,2026-03-03T10:30:00Z,1100.00
STORE_DEL_001,TXN_014,2026-03-03T11:00:00Z,4200.00
STORE_CHN_001,TXN_015,2026-03-03T09:45:00Z,3300.00
STORE_CHN_001,TXN_016,2026-03-03T10:30:00Z,1650.00
STORE_CHN_001,TXN_017,2026-03-03T11:15:00Z,2200.00
